reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20161123,2016,11,11,Black,22,Male,New York,40.67844,-73.92743,Open/No arrest
20161124,2016,11,11,Hispanic,23,Male,New York,40.74342,-73.87847,Closed by arrest
20161126,2016,11,11,Hispanic,58,Male,New York,40.62107,-74.08496,Open/No arrest
20161126,2016,11,11,Black,44,Female,New York,40.87418,-73.83387,Closed by arrest
20161127,2016,11,11,Black,74,Male,New York,40.79033,-73.94171,Open/No arrest
20161128,2016,11,11,Black,22,Female,New York,40.84978,-73.93753,Closed without arrest
20161128,2016,11,11,Black,24,Male,New York,40.82342,-73.90158,Open/No arrest
20161130,2016,11,11,Hispanic,27,Female,New York,40.66753,-73.86425,Open/No arrest
20161130,2016,11,11,Hispanic,32,Male,New York,40.66786,-73.90539,Closed by arrest
20161130,2016,11,11,Hispanic,21,Male,New York,40.6912,-73.83546,Closed by arrest
20161201,2016,12,12,White,55,Female,New York,40.84169,-73.83704,Closed by arrest
20161203,2016,12,12,White,68,Male,New York,40.83768,-73.91326,Closed by arrest
20161204,2016,12,12,Black,25,Female,New York,40.62699,-73.91402,Closed by arrest
20161205,2016,12,12,Asian,46,Female,New York,40.68914,-73.82085,Closed by arrest
20161207,2016,12,12,Black,21,Male,New York,40.63869,-73.91681,Open/No arrest
20161209,2016,12,12,Hispanic,24,Female,New York,40.79909,-73.94762,Closed by arrest
20161211,2016,12,12,Hispanic,31,Male,New York,40.70381,-73.95286,Closed by arrest
20161211,2016,12,12,Hispanic,41,Male,New York,40.84598,-73.90746,Closed by arrest
20161211,2016,12,12,Black,21,Male,New York,40.66976,-73.80265,Closed by arrest
20161213,2016,12,12,Black,26,Male,New York,40.82099,-73.89223,Closed by arrest
20161213,2016,12,12,Black,32,Male,New York,40.67907,-73.91507,Open/No arrest
20161214,2016,12,12,Black,32,Male,New York,40.80941,-73.94437,Open/No arrest
20161217,2016,12,12,Black,27,Male,New York,40.75387,-73.98482,Closed by arrest
